Name,Rating,Title,Nationality,Games,Rank,Fide Id,Year of Birth
Aleksandra Goryachkina,2593,Grand Master,Russian Federation,929,274,4147103,1998
Miguel Santos Ruiz,2592,Grand Master,Spain,454,275,22291482,1999
Awonder Liang,2592,Grand Master,United States,396,276,2056437,2003
Rafael Leitao,2592,Grand Master,Brazil,1192,277,2101246,1979
Ferdinand Hellers,2592,Grand Master,Sweden,658,278,1700022,1969
Mircea Emilian Parligras,2591,Grand Master,Romania,1305,279,1204297,1980
Jure Borisek,2591,Grand Master,Slovenia,842,280,14603152,1986
Vincent Keymer,2591,Grand Master,Germany,268,281,12940690,2004
Yusnel Bacallao Alonso,2590,Grand Master,Cuba,292,282,3507416,1988
Emilio Cordova,2590,Grand Master,Peru,915,283,3801497,1991
Kiril Georgiev,2589,Grand Master,Macedonia,2585,284,2900017,1965
Viorel Iordachescu,2589,Grand Master,Moldova,1654,285,13900200,1977
Pouya Idani,2588,Grand Master,Iran,517,286,12510130,1995
Mikhail Kobalia,2587,Grand Master,Russian Federation,1071,287,4119150,1978
Vladimir Baklan,2587,Grand Master,Ukraine,1472,288,14102196,1978
Humpy Koneru,2586,Grand Master,India,1405,289,5008123,1987
Borki Predojevic,2586,Grand Master,Bosnia And Herzegovina,1118,290,930849,1987
Mykhaylo Oleksiyenko,2585,Grand Master,Ukraine,787,291,4152417,1986
Aryan Chopra,2585,Grand Master,India,234,292,5084423,2001
Abhimanyu Puranik,2584,Grand Master,India,392,293,5061245,2000
Daniil Yuffa,2584,Grand Master,Russian Federation,924,294,24131423,1997
Merab Gagunashvili,2584,Grand Master,Georgia,1079,295,13601652,1985
Falko Bindrich,2584,Grand Master,Germany,972,296,4676670,1990
Marcin Dziuba,2583,Grand Master,Poland,795,297,1112953,1983
Sergei Ovsejevitsch,2582,Grand Master,Ukraine,737,298,14101866,1977
Dennis Wagner,2581,Grand Master,Germany,589,299,24650684,1997
Yannick Pelletier,2581,Grand Master,Switzerland,1875,300,1301837,1976
Velimir Ivic,2581,Grand Master,Serbia,214,301,950122,2002
Peter Prohaszka,2581,Grand Master,Hungary,863,302,726265,1992
Cristhian Cruz,2581,Grand Master,Peru,476,303,3801969,1992
Aleksei Pridorozhni,2580,Grand Master,Russian Federation,1052,304,4127870,1981
Rainer Buhmann,2580,Grand Master,Germany,1171,305,4651340,1981
Michael Roiz,2579,Grand Master,Israel,1085,306,2804158,1983
Kamil Miton,2579,Grand Master,Poland,1268,307,1111914,1984
Mads Andersen,2579,Grand Master,Denmark,697,308,1413864,1995
Noel Studer,2579,Grand Master,Switzerland,575,309,1319620,1996
Hrvoje Stevic,2579,Grand Master,Croatia,1463,310,14502569,1980
Hjorvar Stein Gretarsson,2578,Grand Master,Iceland,362,311,2302241,1993
Vladimir Potkin,2578,Grand Master,Russian Federation,1609,312,4131061,1982
Dmitry Kryakvin,2577,Grand Master,Russian Federation,774,313,4153278,1984
Mikhail Gurevich,2577,Grand Master,Belgium,2370,314,200930,1959
Denis Kadric,2577,Grand Master,Bosnia And Herzegovina,488,315,14403803,1995
Thai Dai Van Nguyen,2577,Grand Master,Czech Republic,570,316,358878,2001
Sebastian Bogner,2577,Grand Master,Switzerland,792,317,4692055,1991
Jan Smeets,2576,Grand Master,Netherlands,1201,318,1007246,1985
Bojan Vuckovic,2576,Grand Master,Serbia,818,319,922277,1980
Tomi Nyback,2576,Grand Master,Finland,1352,320,503142,1985
Aleksey Goganov,2575,Grand Master,Russian Federation,1026,321,24109959,1991
Alexander Kovchan,2575,Grand Master,Ukraine,1087,322,14103052,1983
Murtas Kazhgaleyev,2575,Grand Master,Kazakhstan,1041,323,13700316,1973
Robert Huebner,2574,Grand Master,Germany,2355,324,4600010,1948
Martin Kraemer,2574,Grand Master,Germany,568,325,4671910,1987
Victor Bologan,2574,Grand Master,Moldova,2528,326,13900048,1971
Carlos Daniel Albornoz Cabrera,2573,Grand Master,Cuba,157,327,3518736,2000
Stepan Zilka,2573,Grand Master,Czech Republic,560,328,315303,1988
Muhammed Batuhan Dastan,2572,Grand Master,Turkey,266,329,6300014,1997
Frode Urkedal,2512,2572,Norway,508,330,Grand,1506102 FIDE Profile
Gergely Antal,2572,Grand Master,Hungary,1145,331,717312,1985
Klementy Sychev,2572,Grand Master,Russian Federation,542,332,4114060,1996
Luis Paulo Supi,2572,Grand Master,Brazil,80,333,2106388,1996
Vugar Asadli,2572,Grand Master,Azerbaijan,257,334,13405764,2001
Alvar Alonso Rosell,2572,Grand Master,Spain,397,335,2270544,1992
Csaba Balogh,2572,Grand Master,Hungary,1799,336,718939,1987
Ruben Felgaer,2572,Grand Master,Argentina,986,337,107069,1981
Arturs Neiksans,2572,Grand Master,Latvia,735,338,11601388,1983
Sergei Zhigalko,2572,Grand Master,Belarus,1480,339,13502956,1989
Ljubomir Ljubojevic,2571,Grand Master,Serbia,2202,340,900010,1950
Vahap Sanal,2571,Grand Master,Turkey,815,341,6300545,1998
Chanda Sandipan,2602,2571,India,1354,342,Grand,5004225 FIDE Profile
Mikheil Mchedlishvili,2570,Grand Master,Georgia,1499,343,13600966,1979
Jonathan Hawkins,2570,Grand Master,United Kingdom,153,344,412686,1983
Alexander Graf,2569,Grand Master,Germany,1453,345,4680804,1962
Andrey Baryshpolets,2569,Grand Master,Ukraine,582,346,14117207,1991
Francesco Rambaldi,2569,Grand Master,Italy,220,347,20657307,1999
Emre Can,2569,Grand Master,Turkey,811,348,6302181,1990
Milos Perunovic,2568,Grand Master,Serbia,1247,349,921629,1984
Jan-Christian Schroeder,2568,Grand Master,Germany,197,350,24662259,1998
Evgenij Agrest,2568,Grand Master,Sweden,1380,351,1705024,1966
Robert L Hess,2622,2568,United States,481,352,Grand,2022036 FIDE Profile
Ibro Saric,2568,Grand Master,Bosnia And Herzegovina,497,353,14401290,1982
Nikita Meshkovs,2568,Grand Master,Latvia,528,354,11602740,1994
Sebastien Feller,2568,Grand Master,France,690,355,634654,1991
Ivan Bocharov,2568,Grand Master,Russian Federation,280,356,4180887,1990
Konstantin Tarlev,2567,Grand Master,Ukraine,440,357,14114089,1987
Vitaly Kunin,2567,Grand Master,Germany,652,358,4128737,1983
Alejandro Ramirez,2567,Grand Master,United States,429,359,6500617,1988
Stelios Halkias,2567,Grand Master,Greece,1482,360,4201809,1980
Bart Michiels,2567,Grand Master,Belgium,687,361,202967,1986
Allan Stig Rasmussen,2566,Grand Master,Denmark,606,362,1406000,1983
Jan Markos,2565,Grand Master,Slovakia,838,363,14903474,1985
Zhamsaran Tsydypov,2565,Grand Master,Russian Federation,401,364,4108566,1996
Peter Acs,2565,Grand Master,Hungary,1431,365,708020,1981
Alexandr Fier,2565,Grand Master,Brazil,1278,366,2107139,1988
Zbynek Hracek,2565,Grand Master,Czech Republic,2111,367,300071,1970
Maksim Vavulin,2546,2565,Russian Federation,381,368,International,4169530 FIDE Profile
Yasser Quesada Perez,2565,Grand Master,Cuba,324,369,3509362,1992
Maxim Turov,2565,Grand Master,Russian Federation,1363,370,4120086,1979
Aleksander Mista,2564,Grand Master,Poland,1000,371,1110381,1983
Andrey Stukopin,2564,Grand Master,Russian Federation,564,372,24107131,1994
Valentin Dragnev,2564,Grand Master,Austria,541,373,1634852,1999
Gukesh D,2563,Grand Master,India,352,374,46616543,2006
Aleksej Aleksandrov,2563,Grand Master,Belarus,2231,375,13500139,1973
Jan Werle,2563,Grand Master,Netherlands,1082,376,1006088,1984
Valery Sviridov,2529,2562,Russian Federation,124,377,4120680,1991
Davorin Kuljasevic,2562,Grand Master,Croatia,784,378,14506661,1986
Wouter Spoelman,2562,Grand Master,Netherlands,690,379,1010891,1990
Fernando Peralta,2561,Grand Master,Argentina,1396,380,105309,1979
Jure Skoberne,2561,Grand Master,Slovenia,581,381,14604299,1987
Ehsan Ghaem Maghami,2561,Grand Master,Iran,1881,382,12500739,1982
Alexander Huzman,2561,Grand Master,Israel,1389,383,2803828,1962
Robert Kempinski,2561,Grand Master,Poland,1716,384,1105663,1977
Di Li,2561,Grand Master,China,277,385,8607508,1999
Roeland Pruijssers,2561,Grand Master,Netherlands,812,386,1013068,1989
Avetik Grigoryan,2561,Grand Master,Armenia,373,387,13302191,1989
Wenjun Ju,2560,Grand Master,China,1362,388,8603006,1991
Pavel V Tregubov,2560,Grand Master,Russian Federation,2099,389,4115341,1971
Dmitry Gordievsky,2559,Grand Master,Russian Federation,575,390,24112798,1996
Sergey Erenburg,2559,Grand Master,United States,729,391,2805642,1983
Artur Jussupow,2559,Grand Master,Germany,2105,392,4618777,1960
Erigaisi Arjun,2559,Grand Master,India,213,393,35009192,2003
Predrag Nikolic,2558,Grand Master,Bosnia And Herzegovina,2412,394,14400014,1960
Daniel Forcen Esteban,2558,Grand Master,Spain,317,395,2288230,1994
Igor Khenkin,2558,Grand Master,Germany,2011,396,4659600,1968
Mikhail Mozharov,2558,Grand Master,Russian Federation,532,397,4189825,1990
Hovhannes Gabuzyan,2557,Grand Master,Armenia,599,398,13303732,1995
Renier Vazquez Igarza,2557,Grand Master,Spain,492,399,3503054,1979
Davit Jojua,2557,Grand Master,Georgia,346,400,13602543,1989
Kamil Dragun,2557,Grand Master,Poland,618,401,1134167,1995
Bartlomiej Heberla,2556,Grand Master,Poland,873,402,1115120,1985
Daniil Lintchevski,2555,Grand Master,Russian Federation,987,403,4171055,1990
Vojtech Plat,2555,Grand Master,Czech Republic,870,404,325740,1994
Elshan Moradiabadi,2555,Grand Master,United States,791,405,12501255,1985
Yuri Vovk,2555,Grand Master,Ukraine,803,406,14113171,1988
Evgeny Pigusov,2555,Grand Master,Russian Federation,1020,407,4100514,1961
Matthieu Cornette,2555,Grand Master,France,969,408,620084,1985
Nikolas Theodorou,2554,International Master,Greece,130,409,4262875,2000
Krikor Sevag Mekhitarian,2554,Grand Master,Brazil,741,410,2107660,1986
Yinglun Xu,2554,Grand Master,China,471,411,8604940,1996
Federico Perez Ponsa,2554,Grand Master,Argentina,499,412,117927,1993
Levan Pantsulaia,2553,Grand Master,Georgia,1286,413,13602071,1986
Nitzan Steinberg,2553,Grand Master,Israel,269,414,2801795,1998
Tomas Polak,2553,Grand Master,Czech Republic,1691,415,300560,1974
Nico Georgiadis,2553,Grand Master,Switzerland,398,416,1300113,1996
Luis Engel,2553,Grand Master,Germany,115,417,12961523,2002
Jose Carlos Ibarra Jerez,2553,Grand Master,Spain,567,418,2226332,1985
Andrei Istratescu,2553,Grand Master,Romania,1734,419,1200372,1975
Victor Mikhalevski,2552,Grand Master,Israel,1776,420,2801914,1972
Stanislav Bogdanovich,2552,Grand Master,Ukraine,561,421,14115298,1993
Gergely Aczel,2552,Grand Master,Hungary,479,422,727709,1991
Luca Jr Moroni,2552,Grand Master,Italy,458,423,865834,2000
Simen Agdestein,2552,Grand Master,Norway,1253,424,1500015,1967
Boris Savchenko,2552,Grand Master,Russian Federation,1736,425,4147332,1986
Sergey Smagin,2551,Grand Master,Russian Federation,1035,426,4100425,1958
Susanto Megaranto,2550,Grand Master,Indonesia,600,427,7101384,1987
Robert Fontaine,2550,Grand Master,Switzerland,966,428,605590,1980
Vadim Moiseenko,2549,Grand Master,Russian Federation,539,429,4123700,1994
Conrad Holt,2549,Grand Master,United States,306,430,2034387,1993
Jonas Buhl Bjerre,2549,Grand Master,Denmark,288,431,1444948,2004
David Arutinian,2549,Grand Master,Georgia,585,432,13601741,1984
Nicholas Pert,2548,Grand Master,United Kingdom,823,433,403989,1981
Kaido Kulaots,2548,Grand Master,Estonia,1803,434,4500261,1976
Sasa Martinovic,2548,Grand Master,Croatia,950,435,14509792,1991
Michael Prusikin,2547,Grand Master,Germany,533,436,4642325,1978
Ante Saric,2547,Grand Master,Croatia,1270,437,14506254,1984
Sebastien Maze,2547,Grand Master,France,1221,438,613762,1984
Oliver Mihok,2547,Grand Master,Hungary,808,439,728012,1993
Vitaly Sivuk,2547,Grand Master,Ukraine,590,440,14116502,1992
Kateryna Lagno,2546,Grand Master,Russian Federation,1125,441,14109336,1989
Tomasz Markowski,2546,Grand Master,Poland,1459,442,1105680,1975
Ivan Rozum,2546,Grand Master,Russian Federation,921,443,24104272,1991
Andrey Sumets,2546,Grand Master,Ukraine,666,444,14105500,1980
Yuri Solodovnichenko,2546,Grand Master,Ukraine,1002,445,14104369,1978
Nicolas Checa,2546,Grand Master,United States,173,446,2069342,2001
Sergey Grigoriants,2546,Grand Master,Russian Federation,1248,447,4130804,1983
Luis Ernesto Quesada Perez,2545,Grand Master,Cuba,91,448,3520773,1999
Joerg Hickl,2545,Grand Master,Germany,1301,449,4600118,1965
Raunak Sadhwani,2545,Grand Master,India,329,450,35093487,2005
Andrey Rychagov,2545,Grand Master,Russian Federation,1017,451,4119932,1979
Mariya Muzychuk,2544,Grand Master,Ukraine,1176,452,14114550,1992
Lucas Van Foreest,2544,Grand Master,Netherlands,409,453,1039792,2001
Evgeny E Vorobiov,2544,Grand Master,Russian Federation,1398,454,4121341,1976
Javokhir Sindarov,2544,Grand Master,Uzbekistan,274,455,14205483,2005
Rui Gao,2543,Grand Master,China,384,456,8602387,1992
Alexandr Kharitonov,2543,Grand Master,Russian Federation,577,457,4135202,1986
Andre Diamant,2543,Grand Master,Brazil,452,458,2108356,1990
Cemil Can Ali Marandi,2543,Grand Master,Turkey,423,459,6300529,1998
Dmitry Obolenskikh,2543,International Master,Russian Federation,91,460,4156013,1985
Jonas Lampert,2542,Grand Master,Germany,272,461,1303759,1997
Qingnan Liu,2542,Grand Master,China,220,462,8603294,1992
Viktor Gazik,2542,International Master,Slovakia,335,463,14928752,2001
Boris Gulko,2542,Grand Master,United States,1995,464,2000040,1947
Momchil Nikolov,2542,Grand Master,Bulgaria,753,465,2905710,1985
Dmitry Frolyanov,2542,Grand Master,Russian Federation,835,466,4151976,1986
Alexander Goldin,2542,Grand Master,United States,991,467,2019540,1964
Bence Korpa,2541,Grand Master,Hungary,407,468,706671,1998
Andrey Shariyazdanov,2541,Grand Master,Russian Federation,872,469,4122747,1976
Diptayan Ghosh,2541,Grand Master,India,269,470,5045207,1998
Ruifeng Li,2541,Grand Master,United States,328,471,2061074,2001
Avital Boruchovsky,2541,Grand Master,Israel,369,472,2800055,1997
Tomas Sosa,2541,International Master,Argentina,305,473,121576,1998
Ioannis Nikolaidis,2540,Grand Master,Greece,1293,474,4202139,1971
Srinath Narayanan,2540,Grand Master,India,538,475,5018420,1994
Pavlo Vorontsov,2540,Grand Master,Ukraine,154,476,14116367,1998
Juan Carlos Gonzalez Zamora,2540,Grand Master,Mexico,591,477,3507548,1968
Tigran K Harutyunian,2539,Grand Master,Armenia,531,478,13303635,1997
Tiger Hillarp Persson,2539,Grand Master,Sweden,1538,479,1700812,1970
Bobby Cheng,2539,Grand Master,Australia,204,480,4300033,1997
Dusko Pavasovic,2539,Grand Master,Slovenia,1685,481,14600986,1976
Robert Zelcic,2539,Grand Master,Croatia,2219,482,14500310,1965
Oleg Korneev,2538,Grand Master,Spain,2825,483,4156803,1969
Namig Guliyev,2538,Grand Master,Azerbaijan,584,484,13400363,1974
Alojzije Jankovic,2537,Grand Master,Croatia,1168,485,14505959,1983
Antonios Pavlidis,2536,Grand Master,Greece,387,486,4212312,1993
Akshat Chandra,2536,Grand Master,United States,449,487,25006711,1999
Igor Miladinovic,2536,Grand Master,Serbia,1515,488,4203380,1974
Hannes Stefansson,2536,Grand Master,Iceland,2083,489,2300087,1972
Tsegmed Batchuluun,2536,Grand Master,Mongolia,430,490,4900847,1987
Ioan Cristian Chirila,2536,Grand Master,Romania,664,491,1211668,1991
Erik Blomqvist,2535,Grand Master,Sweden,715,492,1709437,1990
Max Warmerdam,2535,International Master,Netherlands,336,493,1048104,2000
Anna Muzychuk,2535,Grand Master,Ukraine,1711,494,14111330,1990
Valerij Popov,2535,Grand Master,Russian Federation,1406,495,4119410,1974
Leonardo Tristan,2535,Grand Master,Argentina,311,496,113816,1989
Omar Almeida Quintana,2535,Grand Master,Cuba,472,497,3503313,1981
Ruud Janssen,2534,Grand Master,Netherlands,853,498,1004816,1979
Adam Tukhaev,2534,Grand Master,Ukraine,589,499,14109476,1988
Evgeny Shaposhnikov,2534,Grand Master,Russian Federation,989,500,4122232,1981
Ilia Iljiushenok,2534,Grand Master,Russian Federation,564,501,24105074,1993
Levente Vajda,2534,Grand Master,Romania,1662,502,1203975,1981
Jonathan Westerberg,2534,International Master,Sweden,317,503,1701754,1994
Sipke Ernst,2534,Grand Master,Netherlands,1372,504,1004689,1979
Sune Berg Hansen,2533,Grand Master,Denmark,1061,505,1400266,1971
Ildar Ibragimov,2533,Grand Master,Russian Federation,1532,506,4102878,1967
Jan H Timman,2533,Grand Master,Netherlands,3594,507,1000012,1951
Vladislav Nevednichy,2533,Grand Master,Romania,1958,508,1205730,1969
Alexander Naumann,2533,Grand Master,Germany,983,509,4623169,1979
Dmitry Bocharov,2533,Grand Master,Russian Federation,1770,510,4138716,1982
Jakhongir Vakhidov,2533,Grand Master,Uzbekistan,320,511,14201801,1995
Marius Manolache,2533,Grand Master,Romania,741,512,1201530,1973
Emanuel Berg,2532,Grand Master,Sweden,1576,513,1704060,1981
Leon Luke Mendonca,2532,International Master,India,363,514,35028561,2006
Marko Nenezic,2532,International Master,Serbia,215,515,912123,1995
Meilis Annaberdiev,2532,International Master,Turkmenistan,364,516,14000563,1985
Helgi Dam Ziska,2532,Grand Master,,451,517,7200595,1990
Levan Aroshidze,2532,Grand Master,Spain,542,518,13601865,1985
Fidel Corrales Jimenez,2532,Grand Master,United States,325,519,3506690,1987
Vlad Cristian Jianu,2532,Grand Master,Romania,742,520,1208110,1984
Krzysztof Bulski,2531,Grand Master,Poland,380,521,1121499,1987
Temur Kuybokarov,2530,Grand Master,Australia,101,522,14203049,2000
Leon Mons,2530,Grand Master,Germany,212,523,4614950,1995
Sergei Matsenko,2530,Grand Master,Russian Federation,403,524,4170083,1990
Boris Chatalbashev,2530,Grand Master,Denmark,1433,525,2900440,1974
Alexei Fedorov,2529,Grand Master,Belarus,1494,526,13500465,1972
Mark Paragua,2529,Grand Master,Philippines,944,527,5201241,1984
Shamsiddin Vokhidov,2529,Grand Master,Uzbekistan,287,528,14204223,2002
Eduardas Rozentalis,2529,Grand Master,Lithuania,2465,529,12800023,1963
Zurab Sturua,2529,Grand Master,Georgia,874,530,13600095,1959
Farid Abbasov,2528,Grand Master,Azerbaijan,430,531,13400665,1979
Sebastian Iermito,2528,International Master,Argentina,325,532,114286,1993
Alexander Shabalov,2528,Grand Master,United States,2003,533,2008572,1967
Jozsef Pinter,2528,Grand Master,Hungary,1541,534,700045,1953
Stanislav Novikov,2528,Grand Master,Russian Federation,630,535,4125371,1985
Rasul Ibrahimov,2527,Grand Master,Azerbaijan,441,536,13400495,1981
Christopher Noe,2527,International Master,Germany,237,537,24692018,1996
Ruslan Shcherbakov,2527,Grand Master,Russian Federation,1104,538,4102240,1969
Vladimir Epishin,2527,Grand Master,Russian Federation,2634,539,4162714,1965
Zoltan Medvegy,2527,Grand Master,Hungary,1133,540,708402,1979
Deep Sengupta,2527,Grand Master,India,826,541,5008352,1988
Guillermo Vazquez,2527,International Master,Paraguay,198,542,3702308,1997
Jean Marc Degraeve,2527,Grand Master,France,1534,543,600270,1971
Daniel Sadzikowski,2527,Grand Master,Poland,578,544,1132253,1994
Erald Dervishi,2527,Grand Master,Albania,737,545,4700236,1979
Vasily Yemelin,2527,Grand Master,Russian Federation,1217,546,4113217,1976
Yi Xu,2527,Grand Master,China,411,547,8605564,1998
Leandro Krysa,2527,Grand Master,Argentina,361,548,116807,1992
Tadeas Kriebel,2527,International Master,Czech Republic,479,549,330027,1995
Yuri Yakovich,2526,Grand Master,Russian Federation,1485,550,4100654,1962
Roberto Garcia Pantoja,2526,Grand Master,Cuba,99,551,3509265,1992
Aleksander Delchev,2526,Grand Master,Bulgaria,1975,552,2900394,1971
Hans Moke Niemann,2526,Grand Master,United States,230,553,2093596,2003
Gergely Kantor,2526,Grand Master,Hungary,498,554,751499,1999
Johann Hjartarson,2525,Grand Master,Iceland,1505,555,2300044,1963
Michal Olszewski,2525,Grand Master,Poland,489,556,1121251,1989
Semyon Lomasov,2525,International Master,Russian Federation,336,557,24164879,2002
Mladen Palac,2525,Grand Master,Croatia,2484,558,14500116,1971
Alexandre Danin,2525,Grand Master,Russian Federation,569,559,4144031,1986
Hagen Poetsch,2525,Grand Master,Germany,502,560,24615137,1991
Jean Pierre Le Roux,2524,Grand Master,France,781,561,609404,1982
Nana Dzagnidze,2524,Grand Master,Georgia,1632,562,13601903,1987
Zong Yuan Zhao,2524,Grand Master,Australia,511,563,3202534,1986
Michail Brodsky,2524,Grand Master,Ukraine,1371,564,14100932,1969
Yan Liu,2524,Grand Master,China,220,565,8608962,2000
Jakob Vang Glud,2524,Grand Master,Denmark,450,566,1407767,1988
Boban Bogosavljevic,2523,Grand Master,Serbia,496,567,931152,1988
Mikhail Demidov,2523,Grand Master,Russian Federation,736,568,4197143,1992
Li Tian Yeoh,2523,International Master,Malaysia,80,569,5702895,1999
Dmitriy Khegay,2523,Grand Master,Russian Federation,180,570,24153729,1997
Volodymyr Vetoshko,2523,Grand Master,Ukraine,258,571,14122480,1998
Ilja Zaragatski,2522,Grand Master,Germany,920,572,4655192,1985
Seyed Khalil Mousavi,2522,International Master,Iran,251,573,12511099,1998
Tal Baron,2522,Grand Master,Israel,544,574,2809958,1992
Darcy Lima,2522,Grand Master,Brazil,1038,575,2100045,1962
John M Burke,2522,Grand Master,United States,130,576,2070901,2001
G.A. Stany,2522,Grand Master,India,207,577,5029104,1993
Jakov Geller,2521,Grand Master,Russian Federation,945,578,4151984,1986
Jorge Viterbo Ferreira,2521,Grand Master,Portugal,172,579,1910850,1994
Nikola Djukic,2521,Grand Master,Montenegro,846,580,922412,1983
Vladimir Belous,2521,Grand Master,Russian Federation,626,581,4174003,1993
Marc Narciso Dublan,2521,Grand Master,Spain,1726,582,2201500,1974
Pier Luigi Basso,2521,Grand Master,Italy,521,583,866970,1997
Athanasios Mastrovasilis,2521,Grand Master,Greece,1039,584,4201990,1979
Anuar Ismagambetov,2520,Grand Master,Kazakhstan,532,585,13701525,1986
Andreas Kelires,2520,Grand Master,Greece,139,586,5900727,1999
Anh Khoi Nguyen,2520,Grand Master,Viet Nam,150,587,12404675,2002
Zoltan Ribli,2520,Grand Master,Hungary,2333,588,700010,1951
Evgeny Zanan,2520,Grand Master,Israel,341,589,24101940,1998
Tamas Jr Fodor,2520,Grand Master,Hungary,806,590,723762,1991
Lelys Stanley Martinez Duany,2520,Grand Master,Cuba,439,591,3504727,1985
Pierre Bailet,2520,International Master,France,312,592,655830,1988
Kjetil A Lie,2520,Grand Master,Norway,655,593,1501984,1980
Jergus Pechac,2519,Grand Master,Slovakia,257,594,14926970,2001
Filip Pancevski,2519,International Master,Macedonia,354,595,15002187,1988
Martin Petrov,2519,International Master,Bulgaria,131,596,2911086,2000
Nikita Afanasiev,2519,Grand Master,Russian Federation,254,597,24183555,2000
Bartlomiej Macieja,2519,Grand Master,Poland,1744,598,1104306,1977
Sabino Brunello,2519,Grand Master,Italy,1065,599,813613,1989
Alessio Valsecchi,2519,Grand Master,Italy,604,600,818860,1992
Adam Kozak,2518,Grand Master,Hungary,466,601,753246,2002
Sundar M Shyam,2518,Grand Master,India,641,602,5019141,1992
Nikola Mitkov,2518,Grand Master,Macedonia,1223,603,15000290,1971
Yuri Gonzalez Vidal,2518,Grand Master,Cuba,443,604,3503321,1981
Sarunas Sulskis,2518,Grand Master,Lithuania,1306,605,12800112,1972
Roman Ovetchkin,2518,Grand Master,Russian Federation,879,606,4119991,1973
Lukasz Cyborowski,2517,Grand Master,Poland,841,607,1108760,1980
Szymon Gumularz,2517,International Master,Poland,251,608,1188062,2001
Alberto David,2517,Grand Master,Italy,1585,609,4000013,1970
Pavel Kotsur,2517,Grand Master,Kazakhstan,929,610,13700278,1974
Hugo Ten Hertog,2517,Grand Master,Netherlands,122,611,1026356,1994
Jaan Ehlvest,2517,Grand Master,United States,2540,612,4500016,1962
Rene Stern,2517,Grand Master,Germany,648,613,4611799,1972
Alexander G Beliavsky,2517,Grand Master,Slovenia,3150,614,14602377,1953
Andrey Zhigalko,2517,Grand Master,Belarus,917,615,13502247,1985
Vasilios Kotronias,2517,Grand Master,Greece,2034,616,5900212,1964
Andrei Sokolov,2516,International Master,Latvia,2176,617,11600306,1972
Sergei Lobanov,2516,International Master,Russian Federation,524,618,24183750,2001
Henrik Danielsen,2516,Grand Master,Iceland,1013,619,1400185,1966
Daniel Dardha,2516,International Master,Belgium,191,620,240990,2005
Alexander Berelowitsch,2516,Grand Master,Germany,894,621,14101440,1967
Visakh N R,2516,Grand Master,India,215,622,25012223,1999
Ognjen Jovanic,2516,Grand Master,Croatia,1142,623,14504081,1978
Rafael A Vaganian,2516,Grand Master,Armenia,2449,624,13300016,1951
Andrei Shchekachev,2515,Grand Master,France,1577,625,4107730,1972
Dronavalli Harika,2515,Grand Master,India,1758,626,5015197,1991
Egor Krivoborodov,2515,Grand Master,Russian Federation,254,627,4155890,1989
Jordi Magem Badals,2515,Grand Master,Spain,1282,628,2200074,1967
Dmitry Svetushkin,2515,Grand Master,Moldova,1676,629,13900463,1980
Twan Burg,2514,Grand Master,Netherlands,733,630,1010697,1990
Nikola Sedlak,2514,Grand Master,Serbia,1463,631,922900,1983
Pablo Zarnicki,2514,Grand Master,Argentina,1055,632,100137,1972
Pablo Salinas Herrera,2514,Grand Master,Chile,261,633,3407128,1994
Viacheslav V Zakhartsov,2514,Grand Master,Russian Federation,612,634,4115333,1968
Shardul Gagare,2514,Grand Master,India,349,635,5037883,1997
Gad Rechlis,2513,Grand Master,Israel,507,636,2800047,1967
Maxim Dlugy,2513,Grand Master,United States,746,637,2000075,1966
Marcin Tazbir,2513,Grand Master,Poland,613,638,1122452,1988
Sergey Ionov,2513,Grand Master,Russian Federation,943,639,4100875,1962
Ottomar Ladva,2513,Grand Master,Estonia,410,640,4500024,1997
Clovis Vernay,2513,International Master,France,469,641,633046,1989
Grzegorz Nasuta,2512,Grand Master,Poland,394,642,1141686,1996
Viktor Matviishen,2512,International Master,Ukraine,177,643,14129850,2002
Aydin Suleymanli,2512,International Master,Azerbaijan,237,644,13413937,2005
Bilel Bellahcene,2447,2512,France,359,645,Grand,696358 FIDE Profile
Lubomir Ftacnik,2512,Grand Master,Slovakia,2942,646,14900017,1957
Luc Winants,2512,Grand Master,Belgium,981,647,200018,1963
Nikolay Noritsyn,2512,International Master,Canada,229,648,2604922,1991
Marco Baldauf,2511,Grand Master,Germany,378,649,4688210,1990
Robert Rabiega,2511,Grand Master,Germany,1062,650,4601475,1971
Maciej Klekowski,2510,Grand Master,Poland,341,651,1132717,1992
Hedinn Steingrimsson,2510,Grand Master,Iceland,492,652,2300117,1975
Alexandr Triapishko,2510,International Master,Russian Federation,81,653,14122286,2000
Alder Escobar Forero,2510,Grand Master,Colombia,467,654,4400801,1977
Salvador G. Del Rio De Angelis,2510,Grand Master,Spain,377,655,2203138,1976
Vladimir Burmakin,2510,Grand Master,Russian Federation,2217,656,4105109,1967
Luka Budisavljevic,2510,International Master,Serbia,119,657,960047,2004
Maris Krakops,2510,Grand Master,Latvia,319,658,11600462,1978
Tomasz Warakomski,2510,Grand Master,Poland,574,659,1124552,1989
Zhongyi Tan,2510,Grand Master,China,1168,660,8603642,1991
Fabien Libiszewski,2510,Grand Master,France,845,661,616834,1984
Josep Manuel Lopez Martinez,2510,Grand Master,Spain,1156,662,2212943,1980
Gabriel Mateuta,2509,International Master,Romania,500,663,1206370,1980
Oliver Barbosa,2509,Grand Master,Philippines,312,664,5201640,1986
Bharathakoti Harsha,2509,Grand Master,India,338,665,5078776,2000
